ratio_variant,data_quantity_min,layer_thr,msw_thr,x,n_rows,pct_no_snow,pct_ground,pct_both,accuracy
exclude_nans,21,10,10,1.35,706,59.63172804532578,25.07082152974504,15.29745042492918,0.943342776203966
exclude_nans,21,10,10,1.4,688,58.720930232558146,25.581395348837212,15.69767441860465,0.9476744186046512
exclude_nans,21,10,10,1.45,669,57.548579970104626,26.307922272047833,16.143497757847534,0.9491778774289985
exclude_nans,21,10,10,1.5,650,56.46153846153846,26.923076923076923,16.615384615384617,0.9476923076923077
exclude_nans,21,10,10,1.55,634,55.520504731861195,27.444794952681388,17.034700315457414,0.944794952681388
exclude_nans,21,10,10,1.6,618,54.53074433656958,27.993527508090615,17.475728155339805,0.9385113268608414
exclude_nans,21,10,10,1.65,590,52.3728813559322,29.322033898305083,18.305084745762713,0.9389830508474576
exclude_nans,21,10,10,1.7,563,50.26642984014209,30.728241563055064,19.005328596802844,0.9360568383658969
exclude_nans,21,10,10,1.75,535,48.03738317757009,32.149532710280376,19.813084112149532,0.9327102803738317
exclude_nans,21,10,10,1.8,509,45.97249508840864,33.39882121807465,20.6286836935167,0.9273084479371316
exclude_nans,21,10,10,1.85,487,43.737166324435314,34.70225872689938,21.560574948665298,0.9260780287474333
exclude_nans,21,10,10,1.9,460,40.65217391304348,36.52173913043478,22.82608695652174,0.9326086956521739
exclude_nans,21,10,10,1.95,439,38.26879271070615,37.81321184510251,23.917995444191344,0.929384965831435
exclude_nans,21,10,10,2.0,424,36.556603773584904,38.67924528301887,24.764150943396228,0.9268867924528302
exclude_nans,22,10,10,1.0,775,63.354838709677416,22.70967741935484,13.93548387096774,0.9509677419354838
exclude_nans,22,10,10,1.05,762,62.86089238845144,22.965879265091864,14.173228346456693,0.9501312335958005
exclude_nans,22,10,10,1.1,755,62.64900662251656,23.04635761589404,14.304635761589404,0.9509933774834437
exclude_nans,22,10,10,1.15,742,62.129380053908356,23.31536388140162,14.555256064690028,0.954177897574124
exclude_nans,22,10,10,1.2,731,61.696306429548564,23.52941176470588,14.774281805745554,0.9548563611491108
exclude_nans,22,10,10,1.25,720,61.111111111111114,23.88888888888889,15.0,0.9541666666666667
exclude_nans,22,10,10,1.3,705,60.56737588652482,24.25531914893617,15.177304964539006,0.9517730496453901
exclude_nans,22,10,10,1.35,692,59.82658959537572,24.710982658959537,15.462427745664739,0.9508670520231214
exclude_nans,22,10,10,1.4,675,58.81481481481482,25.333333333333336,15.851851851851853,0.9496296296296296
exclude_nans,22,10,10,1.45,656,57.62195121951219,26.067073170731707,16.3109756097561,0.9496951219512195
exclude_nans,22,10,10,1.5,637,56.514913657770805,26.687598116169546,16.797488226059652,0.9481946624803768
exclude_nans,22,10,10,1.55,621,55.55555555555556,27.214170692431562,17.23027375201288,0.9468599033816425
exclude_nans,22,10,10,1.6,605,54.54545454545454,27.768595041322314,17.68595041322314,0.9404958677685951
exclude_nans,22,10,10,1.65,578,52.42214532871973,29.06574394463668,18.5121107266436,0.9394463667820069
exclude_nans,22,10,10,1.7,552,50.36231884057971,30.434782608695656,19.202898550724637,0.9347826086956522
